Judge Name,Year,In Minority Ratio
Michael Bell,2014,0.03125
Michael Bell,2024,0.030612244897959183
Jon Hand,2020,0.028985507246376812
Kelvin Caldwell,2014,0.02857142857142857
Cardo Urso,2013,0.027777777777777776
Maciej Motylewski,2017,0.027777777777777776
Adalaide Byrd,2013,0.02631578947368421
Guilherme Bravo,2015,0.02631578947368421
Eric Colón,2016,0.02564102564102564
Marcos Rosales,2015,0.025423728813559324
Dave Hagen,2016,0.024390243902439025
Lukasz Porebski,2021,0.024390243902439025
Michael Lepicki,2022,0.023809523809523808
Anders Ohlsson,2021,0.022727272727272728
Darryl Ransom,2023,0.02197802197802198
Darryl Ransom,2021,0.02040816326530612
Nelson Hamilton,2010,0.02
David Lethaby,2016,0.017241379310344827
Junichiro Kamijo,2013,0.016129032258064516
Eric Colón,2018,0.013513513513513514
Judge not found,2019,0.008130081300813009
Michael Bell,2017,0.0
Dave Hagen,2017,0.0
Mark Collett,2016,0.0
Paul Barton,2021,0.0
Marcel Varela,2023,0.0
Chris Watts,2012,0.0
Paul Sutherland,2017,0.0
Tony Weeks,2018,0.0
Cecil Peoples,2009,0.0
Cecil Peoples,2010,0.0
Cecil Peoples,2011,0.0
Ron McCarthy,2018,0.0
Sal D'Amato,2010,0.0
Anthony Dimitriou,2019,0.0
Eric Colón,2012,0.0
